Course Name,Course ID,Credit Count,Prerequisites
Public Speaking,COMM 102,3,"PHYS 222, and MATH 321
EE 304 Lab: Introduction to Solid State Devices 1 credit
Laboratory support for EE 303"
Interpersonal Communication,COMM 105W,4,"EE 231
EE 333 Electronics II 3 credits
This second course of the electronics sequence presenting concepts of
feedback, oscillators, filters, amplifiers, operational amplifiers, hysteresis,
bi-stability, and non-linear functional circuits"
Media and Society,COMM 110,4,"EE 332
EE 334 Microprocessor Engineering II 3 credits
A more advanced study of microprocessors and microcontrollers in
embedded system design"
Introduction to Game Design and Storytelling,COMM 183,4,"Junior Standing
EE 337 Principles of Engineering Design II 1 credit
Application of the design techniques in the engineering profession"
Newsgathering Practicum,COMM 198,1,"EE 336
EE 341 Signals & Systems 3 credits
Analysis of linear systems and signals in the time and frequency
domain"
Public Relations Practicum,COMM 199,1,EE 230
Nonverbal Communication,COMM 202,4,EE 231 and EE 332 taken concurrently
Intercultural Communication,COMM 203,4,"EE 332, EE 333
EE 344 Microprocessor II Laboratory 1 credit
Laboratory support for EE 334"
Effective Listening,COMM 215,2,"Concurrent with EE 334
EE 350 Engineering Electromagnetics 3 credits
Vector fields"
Experiential Storytelling,COMM 217,4,"EE 231, MATH 223, MATH 321 and PHYS 222
EE 353 Communication Systems Engineering 3 credits
Signals and Systems, Fourier transforms, Parseval"
Media Writing Fundamentals,COMM 221W,4,"EE 341, MATH 223
www"
Foundations in Music Industry,COMM 224,4,"EE 341
EE 363 Communication Systems Laboratory 1 credit
Measurement techniques using the oscilloscope, spectrum analyzer
and network analyzer"
Public Relations Principles,COMM 233,4,"Concurrent with EE 353
EE 368 Control Systems Laboratory 1 credit
Laboratory support for EE 358"
Preparing for Advocacy,COMM 242,4,"EE 341 and concurrent with EE 358
EE 390 Smart Sensor Systems 3 credits
This course explains the interfacing method between a sensor and
the microcontroller, describes the features and functions of several
frequently used sensors, it then proceeds to explore the subject of sensor
fusion, describe the algorithms how multiple sensors are used to extract
correct and more useful information than each individual single sensor"
Principles of Visual Mass Media,COMM 260,4,"EE334 & EE344
EE 395 Computer Hardware and Organization 3 credits
High-level language constructs using a selected assembly language,
design alternatives of computer processor datapath and control, memory
hierarchy/management unit, use of HDL in describing and verifying
combinational and sequential circuits"
Social Media and Society,COMM 280,4,"EE 234, EE 235, EE 281
EE 398 CPT: Co-Operative Experience 0 credits
Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and
an adjacent fall or spring term"
Foundation Seminar,COMM 300,2,EE 235
"Communication Studies: Approaches and
Perspectives",COMM 301,4,"EE 358
EE 450 Engineering Economics 3 credits
Overview of accounting and finance and their interactions with
engineering"
Argumentation,COMM 302,4,"Advanced standing in the program
EE 453 Advanced Communications Systems Engineering 3 credits
Behavior of analog systems and digital systems in the presence
of noise, principles of digital data transmission, baseband digital
modulation, baseband demodulation/detection, bandpass modulation
and demodulation of digital signals"
Strategic Communication Research Methods,COMM 306,4,"EE 353 and EE 363
EE 463 Advanced Digital System Design 3 credits
Design of combinational and sequential systems and peripheral
interfaces"
Data Storytelling,COMM 307,4,"EE 244
EE 467W Principles of Engineering Design III 1-2 credits
The design and organization of engineering projects"
Performance of Literature,COMM 310,4,"EE 332, EE 337, EE 341, EE 358"
Professional Communication and Interviewing,COMM 312,4,"EE 358 and EE 368
EE 472 Digital Signal Processing 3 credits
Develop design and analysis techniques for discrete signals and systems
via Z-transforms, Discrete Fourier Transforms, implementation of
FIR and IIR filters"
Music Management and Concert Production,COMM 314,4,"EE 341
EE 473 Electrical Power Systems Analysis and Design 3 credits
Power generation, transmission and consumption concepts, electrical
grid modeling, transmission line modeling, electric network power
flow and stability, fault tolerance and fault recovery, economic dispatch,
synchronous machines, renewable energy sources and grid interfacing"
"Ethics, Free Speech, and Free Press",COMM 315,4,"EE 231 or via permission from instructor
EE 474 Power Electronics 4 credits
This course is designed to provide students with knowledge of the
design and analysis of static power conversion and control systems"
Argumentation and Debate,COMM 321,4,"EE 333
EE 475 Integrated Circuit Engineering 3 credits
Introduction to theory and techniques of integrated circuit fabrication
processes, oxidation, photolithography, etching, diffusion of impurities,
ion implantation, epitaxy, metallization, material characterization
techniques, and VLSI process integration, their design and
simulation by SUPREM"
Reporting and Editing,COMM 325W,4,"EE 303 and EE 332
EE 476 Antennas, Propagation, & Microwave Engineering 3 credits
Principles of electromagnetic radiation, antenna parameters, dipoles,
antenna arrays, long wire antennas, microwave antennas, mechanisms
of radio wave propagation, scattering by rain, sea water propagation,
guided wave propagation, periodic structures, transmission lines,
microwave/millimeter wave amplifiers and oscillators, MIC &
MMIC technology"
Interpersonal Communication in Leadership,COMM 326,4,"EE 350
EE 477W Principles of Engineering Design IV 1-2 credits
Completion of design projects and reports"
Multimedia Storytelling,COMM 330W,4,"EE 467 and Senior Standing
EE 478 Digital Signal Processing Lab 1 credit
Digital signal processing (DSP) has a wide variety of applications such
as but not limited to: voice and audio processing, biomedical signal
analysis, mobile and internet communications, radar and sonar, image/
video processing"
Advanced Public Communication,COMM 333,4,"EE 472
Corequisites: EE 472
EE 479 Superconductive Devices 3 credits
Magnetic and superconducting properties of materials, microscopic
theory of superconductivity and tunneling phenomenon"
Writing & Speaking for Broadcast,COMM 334,4,"EE 303
EE 480 Integrated Circuit Fabrication Lab 1 credit
Introduction to integrated circuit fabrication processes, device layout,
mask design, and experiments related to wafer cleaning, etching, thermal
oxidation, thermal diffusion, photolithography, and metallization"
Communication and Community,COMM 335,4,"Concurrent with EE 475
EE 481 VLSI Design Laboratory 1 credit
This laboratory accompanies EE 484"
Visual Storytelling,COMM 351,4,"Concurrent with EE 484
EE 482 Electromechanics 3 credits
Electrical power and magnetic circuit concepts, switch-mode converters,
mechanical electromechanical energy conversion, DC motor drives,
feedback controllers, AC machines and space vectors, permanent
magnet AC machines and drives, induction motors and speed control of
induction motors, stepper motors"
Creative Advertising Principles,COMM 353,4,"EE 230
EE 483 Introduction to Smart Grid 3 credits
his course covers cutting-edge areas of the study in smart grid and power
systems"
Applied Media Design,COMM 360,4,"EE333
www"
Foundations of Health Communication,COMM 370,4,"EE 333
EE 485 ASIC Design 4 credits
This course focuses on CMOS Application Specific Integrated Circuit
(ASIC) design of Very Large Scale Integration (VLSI) systems"
Digital Music 1,COMM 374,4,"EE 484
EE 486 Signal and Power Integrity 3 credits
This course covers the signal and power integrity design for highspeed digital circuits and systems"
Projects in Music Industry,COMM 375,4,EE 231
Game Theory and Criticism,COMM 383,4,"EE 353 and EE 363
EE 488 PLC Application in Modern Industrial Automation 4 credits
The students will learn and practice their PLC programming
knowledge in the Industrial Automation LAB"
CPT: Co-Operative Experience,COMM 398,0,"EE 107, EE 334, EE 395
EE 490 Engineering Applications of AI and ML 3 credits
Machine Learning (ML) is the study of algorithms that learn from data,
and it has become pervasive in technology and science"
Advanced Seminar,COMM 400,4,"EE 341, EE 353
EE 491 In-Service 1-4 credits
Variable
EE 494 Global Experience in Engineering and Technology 1 credit
This class provides students pursuing a minor in Global Solutions
in Engineering and Technology with an opportunity to explore a set
of topics related to achieving success in advance of and following an
international experience (internship, study abroad, etc"
Strategic Advocacy Campaigns,COMM 405,4,"to be determined by course topic
EE 499 (1-6) Individual Study 1-6 credits
Variable
Electronic Engineering Technology
EET 112 Elementary Electricity and Electronics 3 credits
The basic elements of electricity and electronics are explored in an
internet enabled, self-paced course"
Performance Studies,COMM 409,4,"MATH 112 or MATH 115
EET 114 AC Circuits 3 credits
A study of AC circuits, power, phasors, series and parallel AC networks,
and network analysis theorems"
Organizational Communication,COMM 412,4,MATH 113 or MATH 115 may be taken concurrently
Music in the Marketplace,COMM 414,4,"EET 141
EET 143 Integrated Computer Technology III 4 credits
Sequential circuits, logic timing, clock distribution, counter, LED display,
shift register, transceiver, 555 timer, 555 oscillator, D/A converter,
RAM, ROM, mass memory, synchronous logic, asynchronous logic,
microprocessor-interfacing, testability, and simulation"
Experiential Storytelling,COMM 417,4,"EE 107, EET 142
EET 221 Electronic CAD 3 credits
Drafting principles involving use of computer electronic CAD software
in laying out block diagrams, schematic diagrams, production drawings,
graphical presentation of data, and printed circuit board layout
and construction"
"Gender, Race, and Identity",COMM 418,4,"EET 113
EET 222 Electronics I 4 credits
An introduction to semiconductor theory and circuits: includes
characteristics curves, biasing techniques and small signal analysis
of FETs and MOSFETs, feedback concept, BJT and FETs frequency
response"
"Gender, Race, and Media",COMM 419,4,"EET 113
EET 223 Electronics II 4 credits
An introduction to differential amplifier, linear and nonlinear
operational amplifiers, power amplifiers, linear digital ICs, oscillators,
power supplies, D/A, A/D conversion, four layered devices and
their applications"
Mass Media History,COMM 420,4,"MATH 121, PHYS 211, EET 222
EET 254 Microprocessors I 4 credits
A study of microcomputer hardware and software fundamentals,
the instruction set and the addressing modes of a microprocessor/
microcontroller, assembly programming, basic I/O concepts, parallel
I/O methods, asynchronous serial I/O methods, synchronous serial
I/O methods, A/D conversion, timer applications, and introduction to
Internet of Things (IoT) and its impact to society"
Crisis Communication,COMM 425,4,"EET 113
EET 298 Topics 1-4 credits
Varied topics in Electronic and Computer Engineering Technology"
Aesthetics and Culture in Music Industry,COMM 429,4,"to be determined by course topic
EET 310 Programming Tools 4 credits
Several programming tools and their use in creating electronic hardware
systems are covered in this course"
Social Movements and Advocacy,COMM 430,4,"MATH 180
EET 315 Programmable Instrumentation 3 credits
Instrumentation system design and integration with sensors, actuators
and other electronic indicator components"
Grassroots Advocacy and Organizing,COMM 432,4,"EE 234 and EE 235 OR EET 254
EET 340 Programmable Hardware Technology 4 credits
Create working programmable hardware using FPGA, GAL and other
logic technology"
Public Relations Writing,COMM 434W,4,"EE 234 and EE 235 or EET 254
www"
Forensics Pedagogy,COMM 435,4,"EET 221
EET 355 Electrical Power Systems 4 credits
Electrical power and magnetic circuit concepts, transformers, generators
and motors (DC, synchronous, induction), special purpose motors,
power-electronic motor drivers, prime movers/alternatives, generation,
transmission/distribution, system stability/protection"
Specialized Writing,COMM 436W,4,"EET 114, MATH 127, PHYS 212
EET 384 Microprocessors II 4 credits
A study of a high-performance microprocessor architecture"
Legal Aspects of the Music Industry,COMM 437,4,Permission required
Music Promotion and Social Media,COMM 444,4,EET 223
Conflict Management,COMM 445,4,"MATH 180, EET 384
EET 431 Computer Networking II 4 credits
A continuation of EET 430"
Strategic Communications Case Studies,COMM 450,4,"EET 430
EET 441 Embedded Systems 4 credits
Design and prototyping of embedded systems including both hardware
and software components"
"Multimedia Production for Agriculture, Food & Life
Sciences",COMM 457,4,"MATH 180, EET 384
EET 452 Operational Amplifier Applications 3 credits
Operational amplifier circuits utilized in filters, sensors, comparators,
voltage regulators, device testing, measurement systems, multipliers,
phase-locked loops, and A/D converters"
"Dialogue, Discussion, and Debate",COMM 460,4,"MATH 127, EET 223
EET 455 Power Electronics 3 credits
Use of solid-state switching devices in the conversion and control
of electrical energy for low power and high power applications
such as switched-mode regulated DC power supplies, motor speed
control, lighting control, uninterruptible power supplies and
HVDC transmission"
Global Media,COMM 465,4,"EET 222
EET 456 Analog Communications 4 credits
Communications principles and systems"
Advocacy Documentary Production,COMM 469,4,"EET 223
Corequisites: STAT 221
EET 458 Advanced Instrumentation 1 credit
Experiences with electronic equipment and instrumentation including
maintenance, repair, calibration, safety and component identification"
Topics in Health Communication,COMM 470,4,"25 hours of EET courses, or consent
EET 461 Industrial Automation I 4 credits
Automation components and subsystems involving sensors, transistors,
logic, amplifiers, software, microprocessors, PLC"
Interactive Storytelling,COMM 473,4,"EET 223, EET 384
EET 462 Industrial Automation II 4 credits
Continues building skills in automation components and
subsystems involving sensors, transistors, logic, amplifiers, software,
microprocessors, PLC"
Digital Music 2,COMM 474,4,"EET 461
EET 486 Digital Communications 3 credits
An overview of a communication system"
Serious Game Design and Criticism,COMM 483,4,"STAT 154, EET 456
EET 487 RF Systems Technology 3 credits
Overview of wireless communication and control systems"
Creative Audio Production,COMM 484,4,"PHYS 212, EET 223
262 2024-2025 Undergraduate Catalog www"
Senior Capstone Seminar,COMM 494,2,"EET 223
EET 494 Global Experience in Engineering and Technology 1 credit
This class provides students pursuing a minor in "
Capstone,COMM 496,1,"to be determined by course topic
EET 499 Individual Study 1-4 credits
Elementary and Literacy Education
ELE 215 Introduction to Education and Instruction 4 credits
This course explores the historical foundations of education and the
impact they have had on inequitable opportunities, experiences,
and outcomes for learners"
"Internship 1, 5, 6, 7, 8, 9, 10, 11,",COMM 498,12,"Admission to Professional Education and the Elementary
Education program"
Observation of Human Communication,CDIS 201,3,"Admission into Professional Education and the Elementary
Education program
ELE 412 Social Studies: Human Diversity, Power, & Opportunity in
Elementary School 4 credits
This course is designed to prepare teacher candidates with the
understanding and application of concepts related to human diversity
and interactions, structures of power, the identity of individuals and
communities, and explicitly connects social studies concepts with their
influence on educational experiences of diverse learners"
Beginning American Sign Language - Level I,CDIS 205,3,"Admission into Professional Education and the Elementary
Education program
ELE 413 Understanding the Needs of Individual Students 4 credits
This course introduces elementary teacher candidates to areas of
exceptionality in learning"
Basic Audiology,CDIS 220,3,"Admission into Professional Education and the Elementary
Education program
ELE 420 Planning & Assessment for Diverse Learners with Field
Experience 4 credits
The focus of this course will be providing teacher candidates with
strategies and tools in providing daily instruction for diverse learners in
terms of race, gender, ethnicity, nationality, language, religion, sexuality,
social economic status and class"
Introduction to Communication Disorders,CDIS 290,3,"Admission into Professional Education and the Elementary
Education program
www"
"Individual Study 1-3 credits
CDIS 306 Intermediate American Sign Language - Level II",CDIS 291,3,"Admission into Professional Education and the Elementary
Education program
ELE 422 Mathematics Teaching and Learning for the Diverse
Elementary Classroom 4 credits
This course is centered around three goals to help prepare teacher
candidates to enact practices that develop learners"
Advanced I American Sign Language - Level III,CDIS 307,3,"Admission into Professional Education and the Elementary
Education program
ELE 423 Science Teaching and Learning for the Diverse Elementary
Classroom 4 credits
Elementary teachers must know and understand the fundamental
concepts and practices in physical, life, earth and space sciences, as well
as how technology, engineering, and math are integrated into this subject
matter, in order to plan and implement meaningful and engaging inquiry
learning experiences for students"
Conversations in American Sign Language,CDIS 308,1,"Admission into Professional Education and the Elementary
Education program
ELE 428 Teaching Reading and Writing in the Content Areas3 credits
Presents strategies for teaching reading and writing knowledge, attitudes
and skills in the various teaching content areas"
Speech and Language Development,CDIS 312,3,"Admission into Professional Education and the Elementary
Education program
ELE 432 Field Experience: Integrating Methods in the Elementary
Classroom 4 credits
This course is intended to provide a co-teaching mentorship between the
teacher candidate and mentor teacher"
Beginning and Intermediate Audiometrics,CDIS 320,2,"Admission into Professional Education and the Elementary
Education program
ELE 433 Integrating Inclusive Practices to Promote Learners"
Speech and Hearing Science,CDIS 322,3,"Admission into Professional Education and the Elementary
Education program
ELE 446 Educational Technology-STEM 2 credits
Elementary education teacher candidates will study the technology skills
needed in order to become effective STEM teachers"
"Cultural Humility in Communication Sciences and
Disorders",CDIS 346,3,"ENG 101
ENG 125 International Children"
Interprofessional Practice and Research,CDIS 350W,3,"ENG 101
ENG 211W Literature and Human Diversity 4 credits
Courses will explore literary representations of, and literary
contributions made by, under-represented peoples"
Phonetics,CDIS 392,3,"ENG 101
ENG 212W World Literature 4 credits
Courses will introduce students to works of literature from a variety of
world cultures"
Applied Anatomy and Physiology,CDIS 394,3,"ENG 101
ENG 213W Literature and Ethics 4 credits
Courses will focus on some characteristic ways in which literature
addresses and explores the ethical dimensions of human society and the
relationships between works and their cultural contexts"
Hearing Disorders,CDIS 401,3,"ENG 101
ENG 214 Environmental Humanities 4 credits
The arts and humanities play an important role in our shared challenge
of forging an environmentally better future"
Child Language Disorders,CDIS 402,2,"ENG 101
ENG 272W Business Communication 4 credits
Introduction to business communication"
Child Language Disorders Lab,CDIS 403,1,"ENG 101
ENG 285 Practical Grammar 2 credits
A review of traditional grammar designed to prepare students for
advanced work in language and grammar"
"Deaf Studies: Deaf Culture, History and Social
Justice",CDIS 404,3,"ENG 101 and permission of instructor
ENG 316 Topics in Literature 1-4 credits
Topic-oriented course in literature"
Advanced II American Sign Language - Level IV,CDIS 407,3,"ENG 275W
ENG 412W Arab American Literature 4 credits
This course critically examines a wide array of literature, non-fiction
essays and articles, film and art to explore the historical experiences
of diverse Arab American communities"
"Literacy Foundations and Disorders for Speech-Language
Pathologists",CDIS 409W,3,"Consent
ENG 433W Selected Studies in World Literature 4 credits
Topics on themes, issues, and developments in genres of the literatures of
the world"
Neurological Bases of Speech,CDIS 410,2,"6 semester credits in literature
ENG 455 Advanced Writing Workshop 4 credits
Advanced interdisciplinary writing emphasizes critical reading and
thinking, argumentative writing, library research, and documentation of
sources in an academic setting"
Voice and Resonance Disorders,CDIS 416,3,"ENG 201W, ENG 301W
ENG 461 World Literature for Children and Young Adults2-4 credits
Selected works of literature for students in grades 5-12 from a variety of
countries and cultures"
Advanced Audiometrics,CDIS 420,2,"ENG 271W or ENG 272W
ENG 467 International Technical Communication 1-4 credits
Students learn how to research and write technical information for
multiple cultures, both locally and internationally"
Aural Rehabilitation,CDIS 421,3,"ENG 271W
ENG 470 Independent Writing 1-4 credits
Writing in an area and of a type for which the student has demonstrated
ability"
Hearing Across the Lifespan,CDIS 422,2,"Consent
ENG 471 Visual Technical Communication 4 credits
This course provides analysis and training focused on concepts
and practices of visual design as they relate to technical and
professional communication"
"Observation of Clinical Methods in Speech-Language
Pathology",CDIS 431,1,"ENG 271W or ENG 272W
ENG 475 Editing Technical Publications 4 credits
Editing the content, organization, format, style, and mechanics
of documents"
CDIS 434 Clinical Methods in Speech-Language Pathology,CDIS 434,2,"Consent
268 2024-2025 Undergraduate Catalog www"
CDIS 438 Speech Sound Disorders,CDIS 431,3,"1 year CHEM
ENVR 460 Analysis of Pollutants 4 credits
The purpose of this lecture/lab class is to introduce students to standard
practices and procedures used in sampling and analysis of environmental
matrices and to develop an environmental research project"
Appraisal and Diagnosis,CDIS 444,3,"ENVR 440
ENVR 480 Senior Research 1-6 credits
Participate in an independent research project with advisory support
and with a focus on the student"
Grand Rounds-Foundation,CDIS 445,1,Two other ETHN courses
Grand Rounds-Presentation,CDIS 446,2,"ANTH 101, ANTH 230 or consent"
"Counseling in Communication Sciences and
Disorders",CDIS 447,3,"ETHN 100 or ETHN 101 or ETHN 150, or Consent
ETHN 405 Perspectives on New Immigrants 3 credits
The purpose of this course is to examine the challenges and
opportunities of the new immigrants, refugees, families, and specifically
their children, in the United States"
"Transdisciplinary Research in Health-Related
Fields",CDIS 457W,3,"ETHN 100 or ATHN 400
ETHN 420 African American Studies 3 credits
This course will provide students with an in-depth examination of the
issues affecting present-day Africans, and those of the Black Diaspora"
Interprofessional Practices,CDIS 477,1,"ETHN 110 or ETHN 400 or consent
ETHN 440 Asian American Studies 3 credits
Examination of current issues affecting the status of Asian Americans"
Clinical Practicum: Speech/Language Disorders,CDIS 495,2,"ETHN 400, or consent
ETHN 450 Latino/Hispanic Studies 3 credits
Thematic examination of major issues surrounding Latino/Hispanic
communities in the United States"
Introduction to Computing and Applications,CIS 100,4,"ETHN 400, or consent
ETHN 460 Urban Minority Problems 3 credits
This course is concerned with racial/ethnic minorities who live in large
urban (inner city) areas"
Introduction to Information Systems,CIS 101,3,"ETHN 400, or consent
ETHN 482 African American Civil Rights Movement 3 credits
This course will take an interdisciplinary ethnic studies approach
to examine the past, present and future implications of the African
American civil rights movement on race relations in the United States"
Health Humanities and Health Informatics,CIS 113,4,"ETHN 400, or consent
270 2024-2025 Undergraduate Catalog www"
Big Ideas of Computer Science,CIS 115,4,"ETHN major
ETHN 496 Workshop 1-3 credits
Courses will employ changing topics from year to year and deal with
cogent issues of current interest to one or more minority communities"
Introduction to Programming,CIS 121,4,"ETHN major or minor
ETHN 498 College Teaching Internship 1-6 credits
Students assist a faculty member in teaching ETHN 100 or ETHN 101"
"or MATH 113 or MATH 115 or MATH 121
CIS 122 Data Structures",MATH 112,4,"2 ETHN courses at 300/400 level
Experiential Education
EXED 202 Introduction to Experiential Education 3 credits
This course introduces foundations of experiential education through
direct experience with various applications connected through reflection
and group processing"
CIS 201 Introduction to Assistive Technology,MATH 130,2,"Select One Course: CHEM 106 or CHEM 111
FCS 260 Child Health, Safety, and Nutrition 3 credits
This course will provide students with knowledge of appropriate
health, safety, and nutrition practices implemented in developmentally
appropriate educational programs for children ages birth through eight
years"
Computers in Society,CIS 202W,4,"FCS 150
FCS 360 Romantic Relationships 3 credits
This course is an in-depth examination and discussion of the many
complex dynamics that make up romantic relationships"
Algorithms,CIS 223,4,"FCS 340, FCS 375
FCS 380 Nutrition Focused Assessment 3 credits
This class is an in-depth study and practice of nutrition assessment
techniques through experiential learning"
"and CS 111 or CIS 122 or IT 214
CIS 224 Computer Architecture",MATH 121,4,"FCS 242
FCS 400 Culturally Diverse Family Systems 3 credits
An analysis of culturally diverse family systems in America"
Business Application Programming,CIS 311,4,"FCS 140 or FCS 242
FCS 440 Advanced Human Nutrition 3 credits
This class is an advanced course in human metabolism, emphasizing
the function and interaction of nutrients in metabolic and
physiological processes"
CIS 340 Introduction to Database Systems,CIS 122,4,"CHEM 111, FCS 242
FCS 460 Foundations of Medical Nutrition Therapy 3 credits
This class is the first in a series of two courses which explore the role
of Medical Nutrition Therapy in the healthcare system"
Fundamentals of Descriptive Analytics,CIS 342,4,"HLTH 321, FCS 380, FCS 440
FCS 462 Advanced Medical Nutrition Therapy 3 credits
This class is the second in a series of two courses which explore the
role of Medical Nutrition Therapy in the healthcare system"
"or ECON 207
CIS 350 Information Security",STAT 154,4,"FCS 460 or FCS 560
FCS 463 Nutrient Metabolism and Genetics 2 credits
This course will explore the current literature and understandings
of advanced metabolism, cellular physiology and genetics, including
concepts of epigenetics and nutrigenomics"
Introduction to Networking,CIS 360,4,"FCS 460 or FCS 560
272 2024-2025 Undergraduate Catalog www"
Systems Analysis and Design,CIS 380,4,"FCS 242
FCS 478 Family Finance 3 credits
Introduce students to the how"
"or CIS 123
CIS 390 International Technology Experience",CIS 122,12,"FCS 340, ServSafe Certified
FCS 482 Family Life Education 3 credits
Analyze issues and concerns related to family life education"
Career Readiness,CIS 393,1,"Consent
FCS 499 Individual Study 1-6 credits
Arranged with the instructor"
CIS 398 CPT: Co-Operative Experience,CIS 121,0,"FILM 217 or permission of instructor
FILM 334W International Cinema 4 credits
Introduces students to film from a variety of world cultures"
"CIS 414 Advanced Object-Oriented Programming with Design
Patterns",CIS 380,4,"FILM 402 or FILM 412
FILM 472 Film Authorship 4 credits
Film Authorship teaches the study of authorship in cinema and other
forms of moving-image media"
CIS 418 Foundations of Data Science,CIS 380,4,"Consent of instructor
FILM 499 Individual Study 1-4 credits
Extensive reading, research, writing and/or film production in an area
for which the student has had basic preparation"
CIS 440 Database Management Systems,CIS 340,4,"Consent of instructor
Finance
FINA 100 Personal Financial Management 3 credits
Fundamental concepts of managing cash flows: preparation of personal
budget, personal debt management, financial goal establishment, savings
and investments, insurance"
"CIS 442 Database Security, Auditing and Disaster Recovery",CIS 380,4,"ACCT 200
FINA 372 Special Topics in Finance 3 credits
Current topics of significance in Finance"
CIS 444 Data Analytics,CIS 340,4,"ECON 207, STAT 154
FINA 398 CPT: Co-Operative Experience 0 credits
Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and
an adjacent fall or spring term"
CIS 450 Information Warfare,CIS 440,4,Permission of the Chairperson of the department
Network and Security Protocols,CIS 460,4,"FINA 362
FINA 458 Estate Planning 3 credits
Principles and techniques for estate planning"
"CIS 462 Network, Security, Administration and
Programming",CIS 360,4,"FINA 100 or FINA 362
FINA 459 Personal Financial Planning 3 credits
Fundamental concepts of personal financial management: insurance,
budgeting, credit, savings, investments, retirement and estate planning,
and consumer debt management"
CIS 464 Applications of Wireless and Mobile Networks,CIS 360,4,"ACT 330, FINA 458, FINA 460, FINA 470"
CIS 465 Mobile Device Application Programming,CIS 360,4,"FINA 362
FINA 461 Advanced Corporate Finance 3 credits
This course encompasses advanced principles and concepts concerning
the nature and types of debt financing, the valuation and use of leases,
the process and tools of risk management, the calculation and estimation
of financial ratios, the financial planning and forecasting processes, and
the understanding of working capital"
CIS 480 Software Quality Assurance and Testing,CIS 380,4,"FINA 362
FINA 462 Strategic Financial Management 3 credits
Applications of financial principles and analytical tools through the use
of case studies and problems from local businesses"
CIS 482 Human Computer Interaction,CIS 380,4,"FINA 362
FINA 463 Equity Valuation 3 credits
Tools and techniques to aid in individual and institutional
portfolio management"
"or CIS 380
CIS 483 Web Application Design and Development","CS
230",4,"FINA 362 and FINA 460
FINA 464 Financial Institutions and Markets 3 credits
Introduction to money and capital markets, instruments and
institutions"
CIS 484 Software Engineering,CIS 380,4,"FINA 362
FINA 466 Retirement Planning 3 credits
Fundamental concepts of employee benefits in relation to pertinent
legislation, modern management techniques, and financial constraints
that affect the formulation and implementation of a benefit plan"
CIS 485 Game Design and Development,CIS 380,4,"FINA 100 or FINA 362
FINA 467 Insurance and Risk Management 3 credits
Examination of the fundamentals of the insurance industry"
CIS 495 Seminar in Information Technology,CIS 380,1,"FINA 375
FINA 477 Real Estate 3 credits
Fundamental principles: valuation, brokerage, financing, law, property
management, land descriptions and basic investment"
Information Technology Capstone,CIS 498,4,"FINA 100 or FINA 362
FINA 480 Options and Futures 3 credits
Trading practices and procedures utilizing these contracts in hedging
and risk management policies for business"
Artificial Intelligence & Science Fiction,CS 201W,4,"FINA 362
FINA 482 Risk Management for Financial Institutions 3 credits
Fundamental concepts of commercial bank management, financial
regulations, and risk management in financial institutions"
Introduction to Intelligent Systems,CS 230,4,"FINA 362
FINA 490 Debt Markets 3 credits
The course provides a comprehensive discussion of debt securities"
CS 271 Introduction to Graphical Programming,CIS 121,3,"FINA 362
FINA 492 Study Tour 1-3 credits
Study tours are led by Minnesota State University, Mankato faculty
and provide students with opportunities to visit companies and
attend lectures by renowned experts from key sectors of economy,
government, and business"
Computer Science Seminar,CS 295,1,"Permission Required
FINA 493 Maverick Fund 3 credits
Students are responsible for generating investment ideas consistent with
the Maverick Fund Investment Policy Statement"
CS Core: Operating Systems,CS 301,2,FINA 362
CS Core: Programming Languages,CS 303,2,"Permission Required
FINA 498 Internship 3 credits
Supervised experience in business, industry, state or federal institutions"
CS Core: Databases & Information Security,CS 304,2,"Permission Required
FINA 499 Individual Study 1-3 credits
Prerequisites: Permission Required
First Year Experience
FYEX 100 First Year Seminar 1 credits
First Year Seminar supports the development of student success skills,
such as reading, writing and speaking"
Network Architectures,CS 306,2,"FREN 101 or equivalent
FREN 201 Intermediate French I 4 credits
Grammar review, oral practice, written composition and development of
reading and listening skills within a cultural context"
"and CIS 224 or EE 234
CS 308 Applied Algorithms",CIS 223,2,"One year university French or equivalent
FREN 202 Intermediate French II 4 credits
Grammar review, oral practice, written composition and development of
reading and listening skills within a cultural context"
Computer Science Project 1,CS 391,4,"FREN 201 or equivalent
FREN 214 Paris et L"
"and MATH 280
CS 391W Computer Science Project 1",CIS 223,4,"FREN 101, FREN 102, or equivalent
FREN 216 Conversation 1-4 credits
Practice in intermediate-level conversational skills"
"and MATH 280
CS 392 Computer Science Project 2",CIS 223,4,"FREN 101, FREN 102, or equivalent
FREN 217 Modern France 1-3 credits
Introduction to contemporary French civilization"
CS 392W Computer Science Project 2,CS 391,4,"FREN 101, FREN 102, or equivalent
FREN 218 On Y Va 1 credit
Preparation for study in France"
Topics in Operating Systems,CS 401,2,"FREN 201, FREN 202, or equivalent
FREN 280W Parallel Worlds: Exploring Cultures & Symbols4 credits
This course explores a wide range of cultural topics such as race, gender,
human rights, social conflict, mythology, imaginary worlds, etc"
Topics in Programming Languages,CS 403,2,"FREN 101, FREN 102, or equivalent
FREN 299 Individual Study 1-4 credits
Topics will vary"
Topics in Networking & Communication,CS 406,2,"FREN 201, FREN 202, or equivalent
FREN 302W Composition 2-4 credits
Review of grammar and vocabulary"
